Innings,over ,ball,striker,non striker,bowler,type of bowler,Bowling end,Runs batter,Extras,Wide,No ball,Leg bye,Bye,Wicket,Dismissal Type,caught at,fielder,Line ,Length,Shot played,Intended direction,actual direction,Reason for mismatch,Middled,Edged,Beaten,Ball speed (Kmph),Batter type
1,0,1,Matthew Gilkes,David Warner,Sean Abbott,Right Medium Fast,Over,0,1,Yes,No,No,No,No,,,,Outside Off,Good Length,Square drive,Point,Keeper,Wide,No,No,No,,L
1,0,1,Matthew Gilkes,David Warner,Sean Abbott,Right Medium Fast,Over,0,0,No,No,No,No,No,,,,Outside Off,Good Length,Square drive,Point,Keeper,Beaten,No,No,Yes,135.4,L
1,0,2,Matthew Gilkes,David Warner,Sean Abbott,Right Medium Fast,Over,0,0,No,No,No,No,No,,,,Outside Off,Good Length,Forward Defence,Point,Point,,Yes,No,No,131,L
1,0,3,Matthew Gilkes,David Warner,Sean Abbott,Right Medium Fast,Over,1,0,No,No,No,No,No,,,,Outside Off,Good Length,Back Foot Defence,Deep Third Man,Deep Third Man,,Yes,No,No,129.8,L
1,0,4,David Warner,Matthew Gilkes,Sean Abbott,Right Medium Fast,Over,1,0,No,No,No,No,No,,,,Middle,Good Length,Back Foot Defence,Bowler,Deep Third Man,Outside Edge,No,Yes,No,,L
1,0,5,Matthew Gilkes,David Warner,Sean Abbott,Right Medium Fast,Over,0,0,No,No,No,No,No,,,,Leg,Good Length,Back Foot Defence,Short Mid Wicket,Short Mid Wicket,,Yes,No,No,,L
1,0,6,Matthew Gilkes,David Warner,Sean Abbott,Right Medium Fast,Over,0,0,No,No,No,No,No,,,,Off,Good Length,Back Foot Defence,Bowler,Keeper,Beaten,No,No,Yes,,L
1,1,1,David Warner,Matthew Gilkes,Mitchell Starc,Left Fast,Over,0,0,No,No,No,No,No,,,,Outside Off,Good Length,Square drive,Forward Point,Forward Point,,Yes,No,No,134.8,L
1,1,2,David Warner,Matthew Gilkes,Mitchell Starc,Left Fast,Over,0,0,No,No,No,No,No,,,,Outside Leg,Good Length,Back Foot Defence,Short Mid Wicket,Short Mid Wicket,,Yes,No,No,142.8,L
1,1,3,David Warner,Matthew Gilkes,Mitchell Starc,Left Fast,Over,6,0,No,No,No,No,No,,,,Outside Off,Bouncer,Upper cut,Deep Backward Point,Deep Backward Point,,Yes,No,No,144,L
1,1,4,David Warner,Matthew Gilkes,Mitchell Starc,Left Fast,Over,1,0,No,No,No,No,No,,,,Off,Good Length,Back Foot Defence,Bowler,Deep Third Man,Outside Edge,No,Yes,No,142.5,L
1,1,5,Matthew Gilkes,David Warner,Mitchell Starc,Left Fast,Over,4,0,No,No,No,No,No,,,,Outside Off,Full,Lofted Drive,Long Off,Long Off,,Yes,No,No,143.1,L
1,1,6,Matthew Gilkes,David Warner,Mitchell Starc,Left Fast,Over,4,0,No,No,No,No,No,,,,Off,Good Length,Lofted Flick,Deep Mid Wicket,Deep Mid Wicket,,Yes,No,No,128.7,L
